ID	xref	prefLabel
https://purl.brain-bican.org/ontology/hbao/HBA_4526	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4526	lateral habenular nucleus, left, parvocellular division  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4527	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4527	habenular nuclei, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4528	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4528	medial habenular nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4529	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4529	lateral habenular nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4530	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4530	lateral habenular nucleus, right, magnocellular division  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4531	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4531	lateral habenular nucleus, right, parvocellular division  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4532	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4532	pineal gland  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4533	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4533	paraventricular nuclei of thalamus  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4534	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4534	paraventricular nuclei, left of thalamus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4535	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4535	anterior paraventricular nucleus of thalamus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4536	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4536	posterior paraventricular nucleus of thalamus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4537	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4537	paraventricular nuclei, right of thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4538	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4538	anterior paraventricular nucleus of thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4539	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4539	posterior paraventricular nucleus of thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4540	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4540	hypothalamus  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4541	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4541	preoptic region  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4542	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4542	preoptic region, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4543	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4543	medial preoptic area, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4544	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4544	medial preoptic nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4545	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4545	medial preoptic nucleus, left, lateral part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4546	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4546	medial preoptic nucleus, left, medial part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4547	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4547	medial preoptic nucleus, left, central part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4548	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4548	median preoptic nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4549	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4549	periventricular nucleus of the hypothalamus, left, preoptic part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4550	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4550	anteroventral periventricular nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4551	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4551	dorsal periventricular nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4552	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4552	lateral preoptic area, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4553	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4553	intermediate hypothalamic nuclei, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4554	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4554	intermediate nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4555	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4555	uncinate nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4556	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4556	preoptic region, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4557	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4557	medial preoptic area, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4558	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4558	medial preoptic nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4559	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4559	medial preoptic nucleus, right, lateral part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4560	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4560	medial preoptic nucleus, right, medial part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4561	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4561	medial preoptic nucleus, right, central part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4562	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4562	median preoptic nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4563	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4563	periventricular nucleus of the hypothalamus, right, preoptic part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4564	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4564	anteroventral periventricular nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4565	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4565	dorsal periventricular nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4566	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4566	lateral preoptic area, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4567	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4567	intermediate hypothalamic nuclei, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4568	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4568	intermediate nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4569	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4569	uncinate nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4570	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4570	anterior hypothalamic region  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4572	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4572	periventricular nucleus of the hypohalamus, anterior part, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4573	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4573	paraventricular nucleus of the hypothalamus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4574	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4574	subparaventricular zone, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4575	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4575	paraventricular nucleus of the hypothalamus, left, descending division  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4576	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4576	paraventricular nucleus of the hypothalamus, left, descending division, medial parvicellular part, ventral zone  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4577	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4577	paraventricular nucleus of the hypothalamus, left, descending division, dorsal parvicellular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4578	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4578	paraventricular nucleus of the hypothalamus, left, descending division, lateral parvicellular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4579	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4579	paraventricular nucleus of the hypothalamus, left, descending division, forniceal part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4580	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4580	paraventricular nucleus of the hypothalamus, left, magnocellular division  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4581	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4581	paraventricular nucleus of the hypothalamus, left, magnocellular division, anterior magnocellular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4582	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4582	paraventricular nucleus of the hypothalamus, left, magnocellular division, medial magnocellular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4583	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4583	paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4584	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4584	paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, medial zone  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4585	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4585	paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, lateral zone  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4586	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4586	paraventricular nucleus of the hypothalamus, left, parvicellular division  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4587	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4587	paraventricular nucleus of the hypothalamus, left, parvicellular division, anterior parvicellular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4588	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4588	paraventricular nucleus of the hypothalamus, left, parvicellular division, medial parvicellular part, dorsal zone  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4589	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4589	paraventricular nucleus of the hypothalamus, left, parvicellular division, periventricular part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4590	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4590	suprachiasmatic nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4591	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4591	suprachiasmatic nucleus, left, dorsomedial part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4592	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4592	suprachiasmatic nucleus, left, ventrolateral part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4593	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4593	supraoptic nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4594	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4594	supraoptic nucleus, left, dorsolateral part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4595	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4595	supraoptic nucleus, left, ventromedial part  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4596	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4596	lateral hypothalamic area, anterior region, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4597	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4597	pallidohypothalamic nucleus, left  ( human )
